,gcrq,sjxh,cdh,vehicles,velocity
430,2016/5/22,108,31,0.003047083,0.094188804
431,2016/5/22,108,32,0.003047083,0.094188804
432,2016/5/22,109,11,0.003047083,0.094188804
433,2016/5/22,109,12,0.003047083,0.094188804
434,2016/5/22,109,31,0.003047083,0.094188804
435,2016/5/22,109,32,0.003047083,0.094188804
436,2016/5/22,110,11,0.003047083,0.094188804
437,2016/5/22,110,12,0.003047083,0.094188804
438,2016/5/22,110,31,0.003047083,0.094188804
439,2016/5/22,110,32,0.003047083,0.094188804
440,2016/5/22,111,11,0.003047083,0.094188804
441,2016/5/22,111,12,0.003047083,0.094188804
442,2016/5/22,111,31,0.003047083,0.094188804
443,2016/5/22,111,32,0.003047083,0.094188804
444,2016/5/22,112,11,0.003047083,0.094188804
445,2016/5/22,112,12,0.003047083,0.094188804
446,2016/5/22,112,31,0.003047083,0.094188804
447,2016/5/22,112,32,0.003047083,0.094188804
448,2016/5/22,113,11,0.003047083,0.094188804
449,2016/5/22,113,12,0.003047083,0.094188804
450,2016/5/22,113,31,0.003047083,0.094188804
451,2016/5/22,113,32,0.003047083,0.094188804
452,2016/5/22,114,11,0,0
453,2016/5/22,114,12,0.004962472,0.103920871
454,2016/5/22,114,31,0.003516027,0.12240927
455,2016/5/22,114,32,0.005738747,0.144209471
456,2016/5/22,115,11,0,0
457,2016/5/22,115,12,0.006034172,0.115320514
458,2016/5/22,115,31,0.007593458,0.05655356
459,2016/5/22,115,32,0.008691186,0.156791901
460,2016/5/22,116,11,0.003047083,0.094188804
461,2016/5/22,116,12,0.003047083,0.094188804
462,2016/5/22,116,31,0.003047083,0.094188804
463,2016/5/22,116,32,0.003047083,0.094188804
464,2016/5/22,117,11,0.003047083,0.094188804
465,2016/5/22,117,12,0.003047083,0.094188804
466,2016/5/22,117,31,0.003047083,0.094188804
467,2016/5/22,117,32,0.003047083,0.094188804
468,2016/5/22,118,11,0,0
469,2016/5/22,118,12,0.005353534,0.098881445
470,2016/5/22,118,31,0.005844926,0.094052402
471,2016/5/22,118,32,0.004542238,0.23989436
472,2016/5/22,119,11,0,0
473,2016/5/22,119,12,0.004474885,0.10935884
474,2016/5/22,119,31,0.005841121,0.051230872
475,2016/5/22,119,32,0.005552724,0.199023893
476,2016/5/22,120,11,0,0
477,2016/5/22,120,12,0.007395446,0.094569936
478,2016/5/22,120,31,0.006521759,0.094250443
479,2016/5/22,120,32,0.011053649,0.13889533
480,2016/5/22,121,11,0,0
481,2016/5/22,121,12,0.00019305,0.045654565
482,2016/5/22,121,31,0.007009346,0.055222888
483,2016/5/22,121,32,0.003869151,0.197521948
484,2016/5/22,122,11,0.003047083,0.094188804
485,2016/5/22,122,12,0.003047083,0.094188804
486,2016/5/22,122,31,0.003047083,0.094188804
487,2016/5/22,122,32,0.003047083,0.094188804
488,2016/5/22,123,11,0.003047083,0.094188804
